1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: BE0000007FF63841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Thu Jan 18 11:18:01 SGT 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 24 05:28:01 SGT 2024
Total Mission Samples:  5754
Total Device Samples:  7571
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/6/24 1:48:01 PM,C,25.084
2/6/24 1:53:01 PM,C,24.896
2/6/24 1:58:01 PM,C,24.771
2/6/24 2:03:01 PM,C,24.709
2/6/24 2:08:01 PM,C,24.584
2/6/24 2:13:01 PM,C,24.459
2/6/24 2:18:01 PM,C,24.396
2/6/24 2:23:01 PM,C,24.334
2/6/24 2:28:01 PM,C,24.271
2/6/24 2:33:01 PM,C,24.209
2/6/24 2:38:01 PM,C,24.146
2/6/24 2:43:01 PM,C,24.084
2/6/24 2:48:01 PM,C,24.021
2/6/24 2:53:01 PM,C,23.959
2/6/24 2:58:01 PM,C,23.896
2/6/24 3:03:01 PM,C,23.834
2/6/24 3:08:01 PM,C,23.771
2/6/24 3:13:01 PM,C,23.709
2/6/24 3:18:01 PM,C,23.646
2/6/24 3:23:01 PM,C,23.584
2/6/24 3:28:01 PM,C,23.521
2/6/24 3:33:01 PM,C,23.459
2/6/24 3:38:01 PM,C,23.459
2/6/24 3:43:01 PM,C,23.334
2/6/24 3:48:01 PM,C,23.334
2/6/24 3:53:01 PM,C,23.334
2/6/24 3:58:01 PM,C,23.271
2/6/24 4:03:01 PM,C,23.271
2/6/24 4:08:01 PM,C,23.271
2/6/24 4:13:01 PM,C,23.271
2/6/24 4:18:01 PM,C,23.271
2/6/24 4:23:01 PM,C,23.271
2/6/24 4:28:01 PM,C,23.209
2/6/24 4:33:01 PM,C,23.209
2/6/24 4:38:01 PM,C,23.209
2/6/24 4:43:01 PM,C,23.209
2/6/24 4:48:01 PM,C,23.209
2/6/24 4:53:01 PM,C,23.209
2/6/24 4:58:01 PM,C,23.209
2/6/24 5:03:01 PM,C,23.209
2/6/24 5:08:01 PM,C,23.146
2/6/24 5:13:01 PM,C,23.334
2/6/24 5:18:01 PM,C,23.646
2/6/24 5:23:01 PM,C,23.709
2/6/24 5:28:01 PM,C,23.646
2/6/24 5:33:01 PM,C,23.521
2/6/24 5:38:01 PM,C,23.521
2/6/24 5:43:01 PM,C,23.521
2/6/24 5:48:01 PM,C,23.459
2/6/24 5:53:01 PM,C,23.396
2/6/24 5:58:01 PM,C,23.271
2/6/24 6:03:01 PM,C,23.209
2/6/24 6:08:01 PM,C,23.146
2/6/24 6:13:01 PM,C,23.084
2/6/24 6:18:01 PM,C,23.021
2/6/24 6:23:01 PM,C,23.021
2/6/24 6:28:01 PM,C,22.959
2/6/24 6:33:01 PM,C,22.959
2/6/24 6:38:01 PM,C,22.896
2/6/24 6:43:01 PM,C,22.771
2/6/24 6:48:01 PM,C,22.708
2/6/24 6:53:01 PM,C,22.583
2/6/24 6:58:01 PM,C,22.521
2/6/24 7:03:01 PM,C,22.458
2/6/24 7:08:01 PM,C,22.521
2/6/24 7:13:01 PM,C,22.583
2/6/24 7:18:01 PM,C,22.646
2/6/24 7:23:01 PM,C,22.708
2/6/24 7:28:01 PM,C,22.708
2/6/24 7:33:01 PM,C,22.771
2/6/24 7:38:01 PM,C,22.834
2/6/24 7:43:01 PM,C,22.834
2/6/24 7:48:01 PM,C,22.896
2/6/24 7:53:01 PM,C,22.896
2/6/24 7:58:01 PM,C,22.959
2/6/24 8:03:01 PM,C,23.021
2/6/24 8:08:01 PM,C,23.084
2/6/24 8:13:01 PM,C,23.084
2/6/24 8:18:01 PM,C,23.021
2/6/24 8:23:01 PM,C,23.021
2/6/24 8:28:01 PM,C,23.021
2/6/24 8:33:01 PM,C,23.021
2/6/24 8:38:01 PM,C,23.021
2/6/24 8:43:01 PM,C,23.084
2/6/24 8:48:01 PM,C,23.084
2/6/24 8:53:01 PM,C,23.084
2/6/24 8:58:01 PM,C,23.146
2/6/24 9:03:01 PM,C,23.146
2/6/24 9:08:01 PM,C,23.084
2/6/24 9:13:01 PM,C,23.021
2/6/24 9:18:01 PM,C,23.021
2/6/24 9:23:01 PM,C,23.959
2/6/24 9:28:01 PM,C,25.209
2/6/24 9:33:01 PM,C,25.584
2/6/24 9:38:01 PM,C,25.959
2/6/24 9:43:01 PM,C,26.084
2/6/24 9:48:01 PM,C,26.021
2/6/24 9:53:01 PM,C,26.209
2/6/24 9:58:01 PM,C,26.396
2/6/24 10:03:01 PM,C,26.584
2/6/24 10:08:01 PM,C,26.834
2/6/24 10:13:01 PM,C,27.209
2/6/24 10:18:01 PM,C,27.396
2/6/24 10:23:01 PM,C,27.459
2/6/24 10:28:01 PM,C,27.521
2/6/24 10:33:01 PM,C,27.583
2/6/24 10:38:01 PM,C,27.646
2/6/24 10:43:01 PM,C,27.708
2/6/24 10:48:01 PM,C,27.771
2/6/24 10:53:01 PM,C,27.833
2/6/24 10:58:01 PM,C,27.896
2/6/24 11:03:01 PM,C,27.958
2/6/24 11:08:01 PM,C,28.021
2/6/24 11:13:01 PM,C,28.083
2/6/24 11:18:01 PM,C,28.083
2/6/24 11:23:01 PM,C,28.146
2/6/24 11:28:01 PM,C,28.208
2/6/24 11:33:01 PM,C,28.271
2/6/24 11:38:01 PM,C,28.271
2/6/24 11:43:01 PM,C,28.333
2/6/24 11:48:01 PM,C,28.396
2/6/24 11:53:01 PM,C,28.396
2/6/24 11:58:01 PM,C,28.458
2/7/24 12:03:01 AM,C,28.458
2/7/24 12:08:01 AM,C,28.521
2/7/24 12:13:01 AM,C,28.521
2/7/24 12:18:01 AM,C,28.583
2/7/24 12:23:01 AM,C,28.583
2/7/24 12:28:01 AM,C,28.645
2/7/24 12:33:01 AM,C,28.645
2/7/24 12:38:01 AM,C,28.645
2/7/24 12:43:01 AM,C,28.708
2/7/24 12:48:01 AM,C,28.708
2/7/24 12:53:01 AM,C,28.708
2/7/24 12:58:01 AM,C,28.77
2/7/24 1:03:01 AM,C,28.77
2/7/24 1:08:01 AM,C,28.77
2/7/24 1:13:01 AM,C,28.77
2/7/24 1:18:01 AM,C,28.833
2/7/24 1:23:01 AM,C,28.833
2/7/24 1:28:01 AM,C,28.833
2/7/24 1:33:01 AM,C,28.833
2/7/24 1:38:01 AM,C,28.833
2/7/24 1:43:01 AM,C,28.895
2/7/24 1:48:01 AM,C,28.895
2/7/24 1:53:01 AM,C,28.895
2/7/24 1:58:01 AM,C,28.895
2/7/24 2:03:01 AM,C,28.958
2/7/24 2:08:01 AM,C,29.02
2/7/24 2:13:01 AM,C,29.02
2/7/24 2:18:01 AM,C,28.958
2/7/24 2:23:01 AM,C,28.958
2/7/24 2:28:01 AM,C,28.958
2/7/24 2:33:01 AM,C,28.958
2/7/24 2:38:01 AM,C,28.958
2/7/24 2:43:01 AM,C,28.958
2/7/24 2:48:01 AM,C,28.958
2/7/24 2:53:01 AM,C,28.958
2/7/24 2:58:01 AM,C,28.958
2/7/24 3:03:01 AM,C,28.958
2/7/24 3:08:01 AM,C,28.958
2/7/24 3:13:01 AM,C,28.958
2/7/24 3:18:01 AM,C,28.958
2/7/24 3:23:01 AM,C,28.958
2/7/24 3:28:01 AM,C,28.895
2/7/24 3:33:01 AM,C,28.895
2/7/24 3:38:01 AM,C,28.895
2/7/24 3:43:01 AM,C,28.895
2/7/24 3:48:01 AM,C,28.895
2/7/24 3:53:01 AM,C,28.895
2/7/24 3:58:01 AM,C,28.895
2/7/24 4:03:01 AM,C,28.895
2/7/24 4:08:01 AM,C,28.895
2/7/24 4:13:01 AM,C,28.895
2/7/24 4:18:01 AM,C,28.895
2/7/24 4:23:01 AM,C,28.895
2/7/24 4:28:01 AM,C,28.895
2/7/24 4:33:01 AM,C,28.895
2/7/24 4:38:01 AM,C,28.895
2/7/24 4:43:01 AM,C,28.895
2/7/24 4:48:01 AM,C,28.895
2/7/24 4:53:01 AM,C,28.895
2/7/24 4:58:01 AM,C,28.833
2/7/24 5:03:01 AM,C,28.833
2/7/24 5:08:01 AM,C,28.833
2/7/24 5:13:01 AM,C,28.833
2/7/24 5:18:01 AM,C,28.833
2/7/24 5:23:01 AM,C,28.833
2/7/24 5:28:01 AM,C,28.833
2/7/24 5:33:01 AM,C,28.833
2/7/24 5:38:01 AM,C,28.833
2/7/24 5:43:01 AM,C,28.833
2/7/24 5:48:01 AM,C,28.833
2/7/24 5:53:01 AM,C,28.833
2/7/24 5:58:01 AM,C,28.833
2/7/24 6:03:01 AM,C,28.833
2/7/24 6:08:01 AM,C,28.833
2/7/24 6:13:01 AM,C,28.833
2/7/24 6:18:01 AM,C,28.833
2/7/24 6:23:01 AM,C,28.833
2/7/24 6:28:01 AM,C,28.833
2/7/24 6:33:01 AM,C,28.833
2/7/24 6:38:01 AM,C,28.833
2/7/24 6:43:01 AM,C,28.833
2/7/24 6:48:01 AM,C,28.833
2/7/24 6:53:01 AM,C,28.833
2/7/24 6:58:01 AM,C,28.833
2/7/24 7:03:01 AM,C,28.833
2/7/24 7:08:01 AM,C,28.833
2/7/24 7:13:01 AM,C,28.833
2/7/24 7:18:01 AM,C,28.833
2/7/24 7:23:01 AM,C,28.833
2/7/24 7:28:01 AM,C,28.833
2/7/24 7:33:01 AM,C,28.77
2/7/24 7:38:01 AM,C,28.77
2/7/24 7:43:01 AM,C,28.77
2/7/24 7:48:01 AM,C,28.77
2/7/24 7:53:01 AM,C,28.77
2/7/24 7:58:01 AM,C,28.77
2/7/24 8:03:01 AM,C,28.77
2/7/24 8:08:01 AM,C,28.77
2/7/24 8:13:01 AM,C,28.77
2/7/24 8:18:01 AM,C,28.77
2/7/24 8:23:01 AM,C,28.77
2/7/24 8:28:01 AM,C,28.77
2/7/24 8:33:01 AM,C,28.77
2/7/24 8:38:01 AM,C,28.77
2/7/24 8:43:01 AM,C,28.77
2/7/24 8:48:01 AM,C,28.77
2/7/24 8:53:01 AM,C,28.77
2/7/24 8:58:01 AM,C,28.77
2/7/24 9:03:01 AM,C,28.77
2/7/24 9:08:01 AM,C,28.77
2/7/24 9:13:01 AM,C,28.833
2/7/24 9:18:01 AM,C,28.833
2/7/24 9:23:01 AM,C,28.833
2/7/24 9:28:01 AM,C,28.833
2/7/24 9:33:01 AM,C,29.895
2/7/24 9:38:01 AM,C,32.642
2/7/24 9:43:01 AM,C,33.328
2/7/24 9:48:01 AM,C,33.141
2/7/24 9:53:01 AM,C,32.579
2/7/24 9:58:01 AM,C,33.703
2/7/24 10:03:01 AM,C,34.265
2/7/24 10:08:01 AM,C,32.704
2/7/24 10:13:01 AM,C,31.643
2/7/24 10:18:01 AM,C,27.646
2/7/24 10:23:01 AM,C,27.146
2/7/24 10:28:01 AM,C,27.084
2/7/24 10:33:01 AM,C,27.146
2/7/24 10:38:01 AM,C,27.209
2/7/24 10:43:01 AM,C,27.459
