1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 670000007FF3E241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Fri Jan 19 13:00:01 SGT 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Feb 01 10:00:01 SGT 2024
Total Mission Samples:  7804
Total Device Samples:  9859
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/12/24 3:55:01 PM,C,27.646
2/12/24 4:00:01 PM,C,27.583
2/12/24 4:05:01 PM,C,27.583
2/12/24 4:10:01 PM,C,27.583
2/12/24 4:15:01 PM,C,27.583
2/12/24 4:20:01 PM,C,27.583
2/12/24 4:25:01 PM,C,27.583
2/12/24 4:30:01 PM,C,27.583
2/12/24 4:35:01 PM,C,27.583
2/12/24 4:40:01 PM,C,27.583
2/12/24 4:45:01 PM,C,27.583
2/12/24 4:50:01 PM,C,27.583
2/12/24 4:55:01 PM,C,27.583
2/12/24 5:00:01 PM,C,27.646
2/12/24 5:05:01 PM,C,27.646
2/12/24 5:10:01 PM,C,27.646
2/12/24 5:15:01 PM,C,27.646
2/12/24 5:20:01 PM,C,27.708
2/12/24 5:25:01 PM,C,27.708
2/12/24 5:30:01 PM,C,27.708
2/12/24 5:35:01 PM,C,27.771
2/12/24 5:40:01 PM,C,27.771
2/12/24 5:45:01 PM,C,27.771
2/12/24 5:50:01 PM,C,27.771
2/12/24 5:55:01 PM,C,27.771
2/12/24 6:00:01 PM,C,27.771
2/12/24 6:05:01 PM,C,27.771
2/12/24 6:10:01 PM,C,27.771
2/12/24 6:15:01 PM,C,27.771
2/12/24 6:20:01 PM,C,27.771
2/12/24 6:25:01 PM,C,27.771
2/12/24 6:30:01 PM,C,27.771
2/12/24 6:35:01 PM,C,27.771
2/12/24 6:40:01 PM,C,27.771
2/12/24 6:45:01 PM,C,27.771
2/12/24 6:50:01 PM,C,27.708
2/12/24 6:55:01 PM,C,27.708
2/12/24 7:00:01 PM,C,27.708
2/12/24 7:05:01 PM,C,27.646
2/12/24 7:10:01 PM,C,27.646
2/12/24 7:15:01 PM,C,27.646
2/12/24 7:20:01 PM,C,27.646
2/12/24 7:25:01 PM,C,27.646
2/12/24 7:30:01 PM,C,27.646
2/12/24 7:35:01 PM,C,27.583
2/12/24 7:40:01 PM,C,27.583
2/12/24 7:45:01 PM,C,27.583
2/12/24 7:50:01 PM,C,27.583
2/12/24 7:55:01 PM,C,27.583
2/12/24 8:00:01 PM,C,27.583
2/12/24 8:05:01 PM,C,27.521
2/12/24 8:10:01 PM,C,27.521
2/12/24 8:15:01 PM,C,27.521
2/12/24 8:20:01 PM,C,27.521
2/12/24 8:25:01 PM,C,27.521
2/12/24 8:30:01 PM,C,27.521
2/12/24 8:35:01 PM,C,27.521
2/12/24 8:40:01 PM,C,27.521
2/12/24 8:45:01 PM,C,27.521
2/12/24 8:50:01 PM,C,27.521
2/12/24 8:55:01 PM,C,27.521
2/12/24 9:00:01 PM,C,27.521
2/12/24 9:05:01 PM,C,27.459
2/12/24 9:10:01 PM,C,27.459
2/12/24 9:15:01 PM,C,27.459
2/12/24 9:20:01 PM,C,27.459
2/12/24 9:25:01 PM,C,27.459
2/12/24 9:30:01 PM,C,27.459
2/12/24 9:35:01 PM,C,27.459
2/12/24 9:40:01 PM,C,27.459
2/12/24 9:45:01 PM,C,27.459
2/12/24 9:50:01 PM,C,27.459
2/12/24 9:55:01 PM,C,27.459
2/12/24 10:00:01 PM,C,27.459
2/12/24 10:05:01 PM,C,27.459
2/12/24 10:10:01 PM,C,27.459
2/12/24 10:15:01 PM,C,27.459
2/12/24 10:20:01 PM,C,27.459
2/12/24 10:25:01 PM,C,27.459
2/12/24 10:30:01 PM,C,27.459
2/12/24 10:35:01 PM,C,27.459
2/12/24 10:40:01 PM,C,27.459
2/12/24 10:45:01 PM,C,27.459
2/12/24 10:50:01 PM,C,27.459
2/12/24 10:55:01 PM,C,27.459
2/12/24 11:00:01 PM,C,27.459
2/12/24 11:05:01 PM,C,27.459
2/12/24 11:10:01 PM,C,27.459
2/12/24 11:15:01 PM,C,27.459
2/12/24 11:20:01 PM,C,27.459
2/12/24 11:25:01 PM,C,27.459
2/12/24 11:30:01 PM,C,27.459
2/12/24 11:35:01 PM,C,27.459
2/12/24 11:40:01 PM,C,27.459
2/12/24 11:45:01 PM,C,27.459
2/12/24 11:50:01 PM,C,27.459
2/12/24 11:55:01 PM,C,27.459
2/13/24 12:00:01 AM,C,27.459
2/13/24 12:05:01 AM,C,27.459
2/13/24 12:10:01 AM,C,27.459
2/13/24 12:15:01 AM,C,27.459
2/13/24 12:20:01 AM,C,27.459
2/13/24 12:25:01 AM,C,27.459
2/13/24 12:30:01 AM,C,27.459
2/13/24 12:35:01 AM,C,27.459
2/13/24 12:40:01 AM,C,27.459
2/13/24 12:45:01 AM,C,27.459
2/13/24 12:50:01 AM,C,27.459
2/13/24 12:55:01 AM,C,27.459
2/13/24 1:00:01 AM,C,27.459
2/13/24 1:05:01 AM,C,27.459
2/13/24 1:10:01 AM,C,27.459
2/13/24 1:15:01 AM,C,27.459
2/13/24 1:20:01 AM,C,27.459
2/13/24 1:25:01 AM,C,27.459
2/13/24 1:30:01 AM,C,27.459
2/13/24 1:35:01 AM,C,27.459
2/13/24 1:40:01 AM,C,27.396
2/13/24 1:45:01 AM,C,27.396
2/13/24 1:50:01 AM,C,27.396
2/13/24 1:55:01 AM,C,27.334
2/13/24 2:00:01 AM,C,27.334
2/13/24 2:05:01 AM,C,27.334
2/13/24 2:10:01 AM,C,27.334
2/13/24 2:15:01 AM,C,27.334
2/13/24 2:20:01 AM,C,27.334
2/13/24 2:25:01 AM,C,27.334
2/13/24 2:30:01 AM,C,27.334
2/13/24 2:35:01 AM,C,27.334
2/13/24 2:40:01 AM,C,27.334
2/13/24 2:45:01 AM,C,27.334
2/13/24 2:50:01 AM,C,27.334
2/13/24 2:55:01 AM,C,27.334
2/13/24 3:00:01 AM,C,27.334
2/13/24 3:05:01 AM,C,27.334
2/13/24 3:10:01 AM,C,27.334
2/13/24 3:15:01 AM,C,27.334
2/13/24 3:20:01 AM,C,27.334
2/13/24 3:25:01 AM,C,27.334
2/13/24 3:30:01 AM,C,27.334
2/13/24 3:35:01 AM,C,27.334
2/13/24 3:40:01 AM,C,27.334
2/13/24 3:45:01 AM,C,27.334
2/13/24 3:50:01 AM,C,27.271
2/13/24 3:55:01 AM,C,27.271
2/13/24 4:00:01 AM,C,27.271
2/13/24 4:05:01 AM,C,27.271
2/13/24 4:10:01 AM,C,27.271
2/13/24 4:15:01 AM,C,27.271
2/13/24 4:20:01 AM,C,27.271
2/13/24 4:25:01 AM,C,27.271
2/13/24 4:30:01 AM,C,27.209
2/13/24 4:35:01 AM,C,27.209
2/13/24 4:40:01 AM,C,27.209
2/13/24 4:45:01 AM,C,27.209
2/13/24 4:50:01 AM,C,27.209
2/13/24 4:55:01 AM,C,27.209
2/13/24 5:00:01 AM,C,27.209
2/13/24 5:05:01 AM,C,27.209
2/13/24 5:10:01 AM,C,27.209
2/13/24 5:15:01 AM,C,27.209
2/13/24 5:20:01 AM,C,27.209
2/13/24 5:25:01 AM,C,27.209
2/13/24 5:30:01 AM,C,27.209
2/13/24 5:35:01 AM,C,27.209
2/13/24 5:40:01 AM,C,27.209
2/13/24 5:45:01 AM,C,27.209
2/13/24 5:50:01 AM,C,27.146
2/13/24 5:55:01 AM,C,27.146
2/13/24 6:00:01 AM,C,27.146
2/13/24 6:05:01 AM,C,27.146
2/13/24 6:10:01 AM,C,27.146
2/13/24 6:15:01 AM,C,27.146
2/13/24 6:20:01 AM,C,27.146
2/13/24 6:25:01 AM,C,27.146
2/13/24 6:30:01 AM,C,27.146
2/13/24 6:35:01 AM,C,27.146
2/13/24 6:40:01 AM,C,27.146
2/13/24 6:45:01 AM,C,27.146
2/13/24 6:50:01 AM,C,27.146
2/13/24 6:55:01 AM,C,27.146
2/13/24 7:00:01 AM,C,27.146
2/13/24 7:05:01 AM,C,27.146
2/13/24 7:10:01 AM,C,27.146
2/13/24 7:15:01 AM,C,27.146
2/13/24 7:20:01 AM,C,27.146
2/13/24 7:25:01 AM,C,27.146
2/13/24 7:30:01 AM,C,27.146
2/13/24 7:35:01 AM,C,27.146
2/13/24 7:40:01 AM,C,27.146
2/13/24 7:45:01 AM,C,27.084
2/13/24 7:50:01 AM,C,27.084
2/13/24 7:55:01 AM,C,27.084
2/13/24 8:00:01 AM,C,27.084
2/13/24 8:05:01 AM,C,27.021
2/13/24 8:10:01 AM,C,26.959
2/13/24 8:15:01 AM,C,26.896
2/13/24 8:20:01 AM,C,26.896
2/13/24 8:25:01 AM,C,26.896
2/13/24 8:30:01 AM,C,26.959
2/13/24 8:35:01 AM,C,26.959
2/13/24 8:40:01 AM,C,26.959
2/13/24 8:45:01 AM,C,26.959
2/13/24 8:50:01 AM,C,26.959
2/13/24 8:55:01 AM,C,26.959
2/13/24 9:00:01 AM,C,26.959
2/13/24 9:05:01 AM,C,27.021
2/13/24 9:10:01 AM,C,27.021
2/13/24 9:15:01 AM,C,27.021
2/13/24 9:20:01 AM,C,27.084
2/13/24 9:25:01 AM,C,27.084
2/13/24 9:30:01 AM,C,27.084
2/13/24 9:35:01 AM,C,27.084
2/13/24 9:40:01 AM,C,27.146
2/13/24 9:45:01 AM,C,27.146
2/13/24 9:50:01 AM,C,27.146
2/13/24 9:55:01 AM,C,27.209
2/13/24 10:00:01 AM,C,27.209
2/13/24 10:05:01 AM,C,27.209
2/13/24 10:10:01 AM,C,27.271
2/13/24 10:15:01 AM,C,27.271
2/13/24 10:20:01 AM,C,27.271
2/13/24 10:25:01 AM,C,27.334
2/13/24 10:30:01 AM,C,27.334
2/13/24 10:35:01 AM,C,27.334
2/13/24 10:40:01 AM,C,27.396
2/13/24 10:45:01 AM,C,27.396
2/13/24 10:50:01 AM,C,27.396
2/13/24 10:55:01 AM,C,27.459
2/13/24 11:00:01 AM,C,27.459
2/13/24 11:05:01 AM,C,27.521
2/13/24 11:10:01 AM,C,27.521
2/13/24 11:15:01 AM,C,27.521
2/13/24 11:20:01 AM,C,27.521
2/13/24 11:25:01 AM,C,27.521
2/13/24 11:30:01 AM,C,27.521
2/13/24 11:35:01 AM,C,27.583
2/13/24 11:40:01 AM,C,27.583
2/13/24 11:45:01 AM,C,27.583
2/13/24 11:50:01 AM,C,27.583
2/13/24 11:55:01 AM,C,27.583
2/13/24 12:00:01 PM,C,27.583
2/13/24 12:05:01 PM,C,27.583
2/13/24 12:10:01 PM,C,27.646
2/13/24 12:15:01 PM,C,27.646
2/13/24 12:20:01 PM,C,27.708
2/13/24 12:25:01 PM,C,27.708
2/13/24 12:30:01 PM,C,27.646
2/13/24 12:35:01 PM,C,27.646
2/13/24 12:40:01 PM,C,27.646
2/13/24 12:45:01 PM,C,27.646
2/13/24 12:50:01 PM,C,27.646
2/13/24 12:55:01 PM,C,27.708
2/13/24 1:00:01 PM,C,27.708
2/13/24 1:05:01 PM,C,27.708
2/13/24 1:10:01 PM,C,27.708
2/13/24 1:15:01 PM,C,27.583
2/13/24 1:20:01 PM,C,27.521
2/13/24 1:25:01 PM,C,27.459
2/13/24 1:30:01 PM,C,27.396
2/13/24 1:35:01 PM,C,27.396
2/13/24 1:40:01 PM,C,27.396
2/13/24 1:45:01 PM,C,27.396
2/13/24 1:50:01 PM,C,27.396
2/13/24 1:55:01 PM,C,27.334
2/13/24 2:00:01 PM,C,27.396
2/13/24 2:05:01 PM,C,27.396
2/13/24 2:10:01 PM,C,27.396
2/13/24 2:15:01 PM,C,27.459
2/13/24 2:20:01 PM,C,27.459
2/13/24 2:25:01 PM,C,27.459
2/13/24 2:30:01 PM,C,27.459
2/13/24 2:35:01 PM,C,27.521
2/13/24 2:40:01 PM,C,27.521
2/13/24 2:45:01 PM,C,27.583
2/13/24 2:50:01 PM,C,27.583
2/13/24 2:55:01 PM,C,27.646
2/13/24 3:00:01 PM,C,27.646
2/13/24 3:05:01 PM,C,27.521
2/13/24 3:10:01 PM,C,27.459
2/13/24 3:15:01 PM,C,27.396
2/13/24 3:20:01 PM,C,27.396
2/13/24 3:25:01 PM,C,27.396
2/13/24 3:30:01 PM,C,27.396
2/13/24 3:35:01 PM,C,27.396
2/13/24 3:40:01 PM,C,27.396
2/13/24 3:45:01 PM,C,27.459
2/13/24 3:50:01 PM,C,27.459
2/13/24 3:55:01 PM,C,27.459
2/13/24 4:00:01 PM,C,27.459
2/13/24 4:05:01 PM,C,27.459
2/13/24 4:10:01 PM,C,27.521
2/13/24 4:15:01 PM,C,27.521
2/13/24 4:20:01 PM,C,27.521
2/13/24 4:25:01 PM,C,27.521
2/13/24 4:30:01 PM,C,27.521
2/13/24 4:35:01 PM,C,27.521
2/13/24 4:40:01 PM,C,27.521
2/13/24 4:45:01 PM,C,27.583
2/13/24 4:50:01 PM,C,27.583
2/13/24 4:55:01 PM,C,27.583
2/13/24 5:00:01 PM,C,27.583
2/13/24 5:05:01 PM,C,27.583
2/13/24 5:10:01 PM,C,27.583
2/13/24 5:15:01 PM,C,27.646
2/13/24 5:20:01 PM,C,27.646
2/13/24 5:25:01 PM,C,27.646
2/13/24 5:30:01 PM,C,27.646
2/13/24 5:35:01 PM,C,27.646
2/13/24 5:40:01 PM,C,27.646
2/13/24 5:45:01 PM,C,27.646
2/13/24 5:50:01 PM,C,27.646
2/13/24 5:55:01 PM,C,27.646
2/13/24 6:00:01 PM,C,27.646
2/13/24 6:05:01 PM,C,27.646
2/13/24 6:10:01 PM,C,27.646
2/13/24 6:15:01 PM,C,27.646
2/13/24 6:20:01 PM,C,27.583
2/13/24 6:25:01 PM,C,27.583
2/13/24 6:30:01 PM,C,27.583
2/13/24 6:35:01 PM,C,27.583
2/13/24 6:40:01 PM,C,27.583
2/13/24 6:45:01 PM,C,27.583
2/13/24 6:50:01 PM,C,27.583
2/13/24 6:55:01 PM,C,27.583
2/13/24 7:00:01 PM,C,27.583
2/13/24 7:05:01 PM,C,27.646
2/13/24 7:10:01 PM,C,27.646
2/13/24 7:15:01 PM,C,27.646
2/13/24 7:20:01 PM,C,27.646
2/13/24 7:25:01 PM,C,27.646
2/13/24 7:30:01 PM,C,27.646
2/13/24 7:35:01 PM,C,27.646
2/13/24 7:40:01 PM,C,27.646
2/13/24 7:45:01 PM,C,27.646
2/13/24 7:50:01 PM,C,27.708
2/13/24 7:55:01 PM,C,27.833
2/13/24 8:00:01 PM,C,27.833
2/13/24 8:05:01 PM,C,27.771
2/13/24 8:10:01 PM,C,27.771
2/13/24 8:15:01 PM,C,27.771
2/13/24 8:20:01 PM,C,27.771
2/13/24 8:25:01 PM,C,27.833
2/13/24 8:30:01 PM,C,27.833
2/13/24 8:35:01 PM,C,27.833
2/13/24 8:40:01 PM,C,27.833
2/13/24 8:45:01 PM,C,27.833
2/13/24 8:50:01 PM,C,27.833
2/13/24 8:55:01 PM,C,27.833
2/13/24 9:00:01 PM,C,27.833
2/13/24 9:05:01 PM,C,27.833
2/13/24 9:10:01 PM,C,27.833
2/13/24 9:15:01 PM,C,27.833
2/13/24 9:20:01 PM,C,27.833
2/13/24 9:25:01 PM,C,27.833
2/13/24 9:30:01 PM,C,27.896
2/13/24 9:35:01 PM,C,27.896
2/13/24 9:40:01 PM,C,27.896
2/13/24 9:45:01 PM,C,27.896
2/13/24 9:50:01 PM,C,27.896
2/13/24 9:55:01 PM,C,27.896
2/13/24 10:00:01 PM,C,27.896
2/13/24 10:05:01 PM,C,27.896
2/13/24 10:10:01 PM,C,27.896
2/13/24 10:15:01 PM,C,27.896
2/13/24 10:20:01 PM,C,27.896
2/13/24 10:25:01 PM,C,27.833
2/13/24 10:30:01 PM,C,27.958
2/13/24 10:35:01 PM,C,28.021
2/13/24 10:40:01 PM,C,28.083
2/13/24 10:45:01 PM,C,28.083
2/13/24 10:50:01 PM,C,28.083
2/13/24 10:55:01 PM,C,28.083
2/13/24 11:00:01 PM,C,28.021
2/13/24 11:05:01 PM,C,28.021
2/13/24 11:10:01 PM,C,27.958
2/13/24 11:15:01 PM,C,28.021
2/13/24 11:20:01 PM,C,28.083
2/13/24 11:25:01 PM,C,28.021
2/13/24 11:30:01 PM,C,28.021
2/13/24 11:35:01 PM,C,28.083
2/13/24 11:40:01 PM,C,28.083
2/13/24 11:45:01 PM,C,28.146
2/13/24 11:50:01 PM,C,28.146
2/13/24 11:55:01 PM,C,28.146
2/14/24 12:00:01 AM,C,28.146
2/14/24 12:05:01 AM,C,28.146
2/14/24 12:10:01 AM,C,28.146
2/14/24 12:15:01 AM,C,28.146
2/14/24 12:20:01 AM,C,28.146
2/14/24 12:25:01 AM,C,28.146
2/14/24 12:30:01 AM,C,28.146
2/14/24 12:35:01 AM,C,28.146
2/14/24 12:40:01 AM,C,28.146
2/14/24 12:45:01 AM,C,28.208
2/14/24 12:50:01 AM,C,28.208
2/14/24 12:55:01 AM,C,28.208
2/14/24 1:00:01 AM,C,28.208
2/14/24 1:05:01 AM,C,28.146
2/14/24 1:10:01 AM,C,28.146
2/14/24 1:15:01 AM,C,28.208
2/14/24 1:20:01 AM,C,28.208
2/14/24 1:25:01 AM,C,28.208
2/14/24 1:30:01 AM,C,28.208
2/14/24 1:35:01 AM,C,28.146
2/14/24 1:40:01 AM,C,28.083
2/14/24 1:45:01 AM,C,28.021
2/14/24 1:50:01 AM,C,27.958
2/14/24 1:55:01 AM,C,28.021
2/14/24 2:00:01 AM,C,27.958
2/14/24 2:05:01 AM,C,27.958
2/14/24 2:10:01 AM,C,27.896
2/14/24 2:15:01 AM,C,27.896
2/14/24 2:20:01 AM,C,27.896
2/14/24 2:25:01 AM,C,27.896
2/14/24 2:30:01 AM,C,27.896
2/14/24 2:35:01 AM,C,27.958
2/14/24 2:40:01 AM,C,27.896
2/14/24 2:45:01 AM,C,27.896
2/14/24 2:50:01 AM,C,27.896
2/14/24 2:55:01 AM,C,27.896
2/14/24 3:00:01 AM,C,27.896
2/14/24 3:05:01 AM,C,27.896
2/14/24 3:10:01 AM,C,27.896
2/14/24 3:15:01 AM,C,27.896
2/14/24 3:20:01 AM,C,27.896
2/14/24 3:25:01 AM,C,27.896
2/14/24 3:30:01 AM,C,27.896
2/14/24 3:35:01 AM,C,27.896
2/14/24 3:40:01 AM,C,27.896
2/14/24 3:45:01 AM,C,27.833
2/14/24 3:50:01 AM,C,27.833
2/14/24 3:55:01 AM,C,27.833
2/14/24 4:00:01 AM,C,27.833
2/14/24 4:05:01 AM,C,27.833
2/14/24 4:10:01 AM,C,27.833
2/14/24 4:15:01 AM,C,27.708
2/14/24 4:20:01 AM,C,27.646
2/14/24 4:25:01 AM,C,27.646
2/14/24 4:30:01 AM,C,27.583
2/14/24 4:35:01 AM,C,27.583
2/14/24 4:40:01 AM,C,27.521
2/14/24 4:45:01 AM,C,27.521
2/14/24 4:50:01 AM,C,27.521
2/14/24 4:55:01 AM,C,27.583
2/14/24 5:00:01 AM,C,27.583
2/14/24 5:05:01 AM,C,27.583
2/14/24 5:10:01 AM,C,27.521
2/14/24 5:15:01 AM,C,27.521
2/14/24 5:20:01 AM,C,27.521
2/14/24 5:25:01 AM,C,27.521
2/14/24 5:30:01 AM,C,27.521
2/14/24 5:35:01 AM,C,27.583
2/14/24 5:40:01 AM,C,27.583
2/14/24 5:45:01 AM,C,27.583
2/14/24 5:50:01 AM,C,27.583
2/14/24 5:55:01 AM,C,27.583
2/14/24 6:00:01 AM,C,27.583
2/14/24 6:05:01 AM,C,27.583
2/14/24 6:10:01 AM,C,27.583
2/14/24 6:15:01 AM,C,27.583
2/14/24 6:20:01 AM,C,27.583
2/14/24 6:25:01 AM,C,27.583
2/14/24 6:30:01 AM,C,27.646
2/14/24 6:35:01 AM,C,27.646
2/14/24 6:40:01 AM,C,27.646
2/14/24 6:45:01 AM,C,27.646
2/14/24 6:50:01 AM,C,27.646
2/14/24 6:55:01 AM,C,27.646
2/14/24 7:00:01 AM,C,27.646
2/14/24 7:05:01 AM,C,27.646
2/14/24 7:10:01 AM,C,27.646
2/14/24 7:15:01 AM,C,27.646
2/14/24 7:20:01 AM,C,27.583
2/14/24 7:25:01 AM,C,27.646
2/14/24 7:30:01 AM,C,27.646
2/14/24 7:35:01 AM,C,27.646
2/14/24 7:40:01 AM,C,27.646
2/14/24 7:45:01 AM,C,27.708
2/14/24 7:50:01 AM,C,27.708
2/14/24 7:55:01 AM,C,27.708
2/14/24 8:00:01 AM,C,27.708
2/14/24 8:05:01 AM,C,27.771
2/14/24 8:10:01 AM,C,27.708
2/14/24 8:15:01 AM,C,27.708
2/14/24 8:20:01 AM,C,27.646
2/14/24 8:25:01 AM,C,27.646
2/14/24 8:30:01 AM,C,27.646
2/14/24 8:35:01 AM,C,27.708
2/14/24 8:40:01 AM,C,27.708
2/14/24 8:45:01 AM,C,27.708
2/14/24 8:50:01 AM,C,27.708
2/14/24 8:55:01 AM,C,27.708
2/14/24 9:00:01 AM,C,27.708
2/14/24 9:05:01 AM,C,27.646
2/14/24 9:10:01 AM,C,27.646
2/14/24 9:15:01 AM,C,27.708
2/14/24 9:20:01 AM,C,27.708
2/14/24 9:25:01 AM,C,27.708
2/14/24 9:30:01 AM,C,27.771
2/14/24 9:35:01 AM,C,27.771
2/14/24 9:40:01 AM,C,27.771
2/14/24 9:45:01 AM,C,27.771
2/14/24 9:50:01 AM,C,27.771
2/14/24 9:55:01 AM,C,27.708
2/14/24 10:00:01 AM,C,27.708
2/14/24 10:05:01 AM,C,27.708
2/14/24 10:10:01 AM,C,27.708
2/14/24 10:15:01 AM,C,27.771
2/14/24 10:20:01 AM,C,27.771
2/14/24 10:25:01 AM,C,27.833
2/14/24 10:30:01 AM,C,27.833
2/14/24 10:35:01 AM,C,27.833
2/14/24 10:40:01 AM,C,27.896
2/14/24 10:45:01 AM,C,27.958
2/14/24 10:50:01 AM,C,28.021
2/14/24 10:55:01 AM,C,28.021
2/14/24 11:00:01 AM,C,28.083
2/14/24 11:05:01 AM,C,28.083
2/14/24 11:10:01 AM,C,28.146
2/14/24 11:15:01 AM,C,28.208
2/14/24 11:20:01 AM,C,28.146
2/14/24 11:25:01 AM,C,28.083
2/14/24 11:30:01 AM,C,28.083
2/14/24 11:35:01 AM,C,28.021
2/14/24 11:40:01 AM,C,27.958
2/14/24 11:45:01 AM,C,28.021
2/14/24 11:50:01 AM,C,28.083
2/14/24 11:55:01 AM,C,28.146
2/14/24 12:00:01 PM,C,28.146
2/14/24 12:05:01 PM,C,28.208
2/14/24 12:10:01 PM,C,28.271
2/14/24 12:15:01 PM,C,28.271
2/14/24 12:20:01 PM,C,28.333
2/14/24 12:25:01 PM,C,28.333
2/14/24 12:30:01 PM,C,28.333
2/14/24 12:35:01 PM,C,28.333
2/14/24 12:40:01 PM,C,28.333
2/14/24 12:45:01 PM,C,28.333
2/14/24 12:50:01 PM,C,28.458
2/14/24 12:55:01 PM,C,28.521
2/14/24 1:00:01 PM,C,28.521
2/14/24 1:05:01 PM,C,28.77
2/14/24 1:10:01 PM,C,28.583
2/14/24 1:15:01 PM,C,28.521
2/14/24 1:20:01 PM,C,28.521
2/14/24 1:25:01 PM,C,28.521
2/14/24 1:30:01 PM,C,28.521
2/14/24 1:35:01 PM,C,28.521
2/14/24 1:40:01 PM,C,28.458
2/14/24 1:45:01 PM,C,28.458
2/14/24 1:50:01 PM,C,28.458
2/14/24 1:55:01 PM,C,28.645
2/14/24 2:00:01 PM,C,28.583
2/14/24 2:05:01 PM,C,28.583
2/14/24 2:10:01 PM,C,28.645
2/14/24 2:15:01 PM,C,28.645
2/14/24 2:20:01 PM,C,28.645
2/14/24 2:25:01 PM,C,28.708
2/14/24 2:30:01 PM,C,28.708
2/14/24 2:35:01 PM,C,28.77
2/14/24 2:40:01 PM,C,28.77
2/14/24 2:45:01 PM,C,28.77
2/14/24 2:50:01 PM,C,28.77
2/14/24 2:55:01 PM,C,28.77
2/14/24 3:00:01 PM,C,28.77
2/14/24 3:05:01 PM,C,28.77
2/14/24 3:10:01 PM,C,28.708
2/14/24 3:15:01 PM,C,28.708
2/14/24 3:20:01 PM,C,28.708
2/14/24 3:25:01 PM,C,28.708
2/14/24 3:30:01 PM,C,28.708
2/14/24 3:35:01 PM,C,28.708
2/14/24 3:40:01 PM,C,28.708
2/14/24 3:45:01 PM,C,28.77
2/14/24 3:50:01 PM,C,28.833
2/14/24 3:55:01 PM,C,28.833
2/14/24 4:00:01 PM,C,28.833
2/14/24 4:05:01 PM,C,28.77
2/14/24 4:10:01 PM,C,28.77
2/14/24 4:15:01 PM,C,28.77
2/14/24 4:20:01 PM,C,28.833
2/14/24 4:25:01 PM,C,28.77
2/14/24 4:30:01 PM,C,28.77
2/14/24 4:35:01 PM,C,28.77
2/14/24 4:40:01 PM,C,28.77
2/14/24 4:45:01 PM,C,28.77
2/14/24 4:50:01 PM,C,28.708
2/14/24 4:55:01 PM,C,28.645
2/14/24 5:00:01 PM,C,28.583
2/14/24 5:05:01 PM,C,28.583
2/14/24 5:10:01 PM,C,28.583
2/14/24 5:15:01 PM,C,28.583
2/14/24 5:20:01 PM,C,28.521
2/14/24 5:25:01 PM,C,28.458
2/14/24 5:30:01 PM,C,28.396
2/14/24 5:35:01 PM,C,28.396
2/14/24 5:40:01 PM,C,28.333
2/14/24 5:45:01 PM,C,28.333
2/14/24 5:50:01 PM,C,28.333
2/14/24 5:55:01 PM,C,28.333
2/14/24 6:00:01 PM,C,28.333
2/14/24 6:05:01 PM,C,28.271
2/14/24 6:10:01 PM,C,28.271
2/14/24 6:15:01 PM,C,28.271
2/14/24 6:20:01 PM,C,28.271
2/14/24 6:25:01 PM,C,28.271
2/14/24 6:30:01 PM,C,28.271
2/14/24 6:35:01 PM,C,28.271
2/14/24 6:40:01 PM,C,28.208
2/14/24 6:45:01 PM,C,28.208
2/14/24 6:50:01 PM,C,28.208
2/14/24 6:55:01 PM,C,28.208
2/14/24 7:00:01 PM,C,28.208
2/14/24 7:05:01 PM,C,28.208
2/14/24 7:10:01 PM,C,28.146
2/14/24 7:15:01 PM,C,28.146
2/14/24 7:20:01 PM,C,28.146
2/14/24 7:25:01 PM,C,28.083
2/14/24 7:30:01 PM,C,28.083
2/14/24 7:35:01 PM,C,28.083
2/14/24 7:40:01 PM,C,28.021
2/14/24 7:45:01 PM,C,28.021
2/14/24 7:50:01 PM,C,28.021
2/14/24 7:55:01 PM,C,28.021
2/14/24 8:00:01 PM,C,28.021
2/14/24 8:05:01 PM,C,28.021
2/14/24 8:10:01 PM,C,28.021
2/14/24 8:15:01 PM,C,28.021
2/14/24 8:20:01 PM,C,27.958
2/14/24 8:25:01 PM,C,27.958
2/14/24 8:30:01 PM,C,27.958
2/14/24 8:35:01 PM,C,27.958
2/14/24 8:40:01 PM,C,27.958
2/14/24 8:45:01 PM,C,27.958
2/14/24 8:50:01 PM,C,27.958
2/14/24 8:55:01 PM,C,27.958
2/14/24 9:00:01 PM,C,27.958
2/14/24 9:05:01 PM,C,27.958
2/14/24 9:10:01 PM,C,27.958
2/14/24 9:15:01 PM,C,27.958
2/14/24 9:20:01 PM,C,27.896
2/14/24 9:25:01 PM,C,27.896
2/14/24 9:30:01 PM,C,27.896
2/14/24 9:35:01 PM,C,27.896
2/14/24 9:40:01 PM,C,27.896
2/14/24 9:45:01 PM,C,27.896
2/14/24 9:50:01 PM,C,27.896
2/14/24 9:55:01 PM,C,27.896
2/14/24 10:00:01 PM,C,27.896
2/14/24 10:05:01 PM,C,27.833
